url_path,title,meta_description,canonical,h1
/404/,Page Not Found | Toronto Restaurant Growth,The page you,https://torontorestaurantgrowth.ca/404/,Page not found
/blog/catering-lead-seo-gta/,Catering Lead SEO for GTA Restaurants | Toronto Restaurant Growth,"Service-area pages, schema basics, and follow-up speed for B2B inquiries.",https://torontorestaurantgrowth.ca/blog/catering-lead-seo-gta/,Catering Lead SEO for GTA Restaurants
/blog/dine-toronto-seasonal-marketing/,Seasonal Promotions for Toronto Dining Rooms | Toronto Restaurant Growth,Calendar planning that respects staffing limits and margin reality.,https://torontorestaurantgrowth.ca/blog/dine-toronto-seasonal-marketing/,Seasonal Promotions for Toronto Dining Rooms
/blog/google-ads-local-campaign-restaurants/,Local Google Ads for Restaurants: When Paid Search Helps | Toronto Restaurant Growth,Pairing ads with organic Maps work without overpaying for branded clicks.,https://torontorestaurantgrowth.ca/blog/google-ads-local-campaign-restaurants/,Local Google Ads for Restaurants: When Paid Search Helps
/blog/halal-restaurant-marketing-gta/,"Halal Restaurant Marketing in the GTA: Respectful, Precise Positioning | Toronto Restaurant Growth",How to describe dietary standards clearly while staying competitive on Maps.,https://torontorestaurantgrowth.ca/blog/halal-restaurant-marketing-gta/,"Halal Restaurant Marketing in the GTA: Respectful, Precise Positioning"
/blog/,Blog | Toronto Restaurant Growth,"Restaurant marketing insights for Toronto and GTA independent restaurant owners. Google SEO, reviews, social media — practical advice that drives covers.",https://torontorestaurantgrowth.ca/blog/,From the Blog
/blog/instagram-reels-restaurant-promo-2026/,"Instagram Reels for Restaurants in 2026: Short Hooks, Real Kitchens | Toronto Restaurant Growth","What to film, how often to post, and how to connect clips to bookings.",https://torontorestaurantgrowth.ca/blog/instagram-reels-restaurant-promo-2026/,"Instagram Reels for Restaurants in 2026: Short Hooks, Real Kitchens"
/blog/neighbourhood-landing-pages-restaurants/,Neighbourhood Landing Pages That Actually Convert | Toronto Restaurant Growth,Avoid thin doorways; build useful local pages diners and Google both trust.,https://torontorestaurantgrowth.ca/blog/neighbourhood-landing-pages-restaurants/,Neighbourhood Landing Pages That Actually Convert
/blog/restaurant-email-marketing-list/,Email Lists Restaurants Will Actually Use | Toronto Restaurant Growth,"Consent-first capture, simple segments, and offers that do not train discount seekers.",https://torontorestaurantgrowth.ca/blog/restaurant-email-marketing-list/,Email Lists Restaurants Will Actually Use
/blog/restaurant-tiktok-growth-strategy/,TikTok Growth for Toronto Restaurants Without Cringe | Toronto Restaurant Growth,A grounded posting rhythm that supports reservations and brand trust.,https://torontorestaurantgrowth.ca/blog/restaurant-tiktok-growth-strategy/,TikTok Growth for Toronto Restaurants Without Cringe
/blog/toronto-restaurants-rank-google-maps/,How Toronto Restaurants Improve Google Maps Visibility | Toronto Restaurant Growth,"GBP hygiene, reviews, and on-site signals that compound over time.",https://torontorestaurantgrowth.ca/blog/toronto-restaurants-rank-google-maps/,How Toronto Restaurants Improve Google Maps Visibility
/blog/why-your-restaurant-not-showing-on-google/,Why Your Toronto Restaurant Is not Showing Up on Google | Toronto Restaurant Growth,Seven common visibility gaps and how to fix them without gimmicks.,https://torontorestaurantgrowth.ca/blog/why-your-restaurant-not-showing-on-google/,Why Your Toronto Restaurant Is not Showing Up on Google
/case-studies/crab-boil/,How TRG Helped Crab Boil Build 500M+ Impressions and Expand to Ottawa | Toronto Restaurant Growth,"From zero digital presence to 500M+ combined impressions, 113K TikTok followers, and a successful Ottawa expansion. See how Toronto Restaurant Growth runs marketing for one of Canada",https://torontorestaurantgrowth.ca/case-studies/crab-boil/,500 Million Impressions. One Restaurant Group. Zero Traditional Ad Spend.
/case-studies/,Restaurant Marketing Case Studies | Toronto Restaurant Growth,"Real results for real Toronto restaurants. See how TRG has grown restaurant brands through Google Maps SEO, social media, and review management.",https://torontorestaurantgrowth.ca/case-studies/,Real Numbers. Real Restaurants.
/contact/,Book a Free Google Audit — Toronto Restaurant Growth,"Get a free 15-minute review of your Google Business Profile, website, and reviews. We",https://torontorestaurantgrowth.ca/contact/,Your Free Google Audit — No Sales Pitch
/index/,Toronto Restaurant Growth | More Covers. Better Reviews. All From Google.,Toronto,https://torontorestaurantgrowth.ca/,More Covers. Better Reviews. All From Google.
/locations/etobicoke/,Restaurant Marketing in Etobicoke | Toronto Restaurant Growth,"Etobicoke restaurant marketing — we help independent restaurants along The Queensway, Bloor West, and Rexdale build their Google presence and fill tables with loyal local customers.",https://torontorestaurantgrowth.ca/locations/etobicoke/,Restaurant Marketing in Etobicoke
/locations/hamilton/,Restaurant Marketing in Hamilton | Toronto Restaurant Growth,Hamilton restaurant marketing for the city,https://torontorestaurantgrowth.ca/locations/hamilton/,Restaurant Marketing in Hamilton
/locations/,Restaurant Marketing GTA Locations | Toronto Restaurant Growth,"Toronto Restaurant Growth serves restaurants across the GTA — Scarborough, Brampton, Mississauga, North York, Etobicoke, Hamilton, Vaughan, and Markham.",https://torontorestaurantgrowth.ca/locations/,Hyperlocal Restaurant Marketing Across the GTA
/locations/markham/,Restaurant Marketing in Markham | Toronto Restaurant Growth,Markham restaurant marketing for the GTA,https://torontorestaurantgrowth.ca/locations/markham/,Restaurant Marketing in Markham
